id,q1_1,q1_2,q1_3,q2_1,q2_2,q2_3,q2_4,q2_5,q2_6,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q3_7,q4_1,q4_2,q4_3,q4_4,q4_5,q4_6,q5a,q6,age,gender,role,bransch,duration_in_seconds
51,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,"Ja, i ganska stor utsträckning",NA,46-55,Man,Medarbetare,Annan verksamhet,333
52,Stämmer ganska väl,NA,NA,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,"Ja, i mycket stor utsträckning",NA,56+,Man,Arbetsledande med personal ansvar,Energiförsörjning,284
53,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska dåligt,Stämmer helt,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,Stämmer helt,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska dåligt,"Ja, i ganska stor utsträckning",NA,46-55,Kvinna,Arbetsledande med personal ansvar,Bygg,220
54,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,"Ja, i mycket stor utsträckning",NA,56+,Man,Arbetsledande utan personalansvar,"Jordbruk, skogsbruk",217
55,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,"Ja, i ganska stor utsträckning",NA,30-45,Man,Medarbetare,Tillverkning,294
56,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,"Ja, i ganska stor utsträckning",NA,46-55,Kvinna,Arbetsledande med personal ansvar,Annan verksamhet,185
57,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,"Ja, i mycket stor utsträckning",NA,56+,Man,Arbetsledande med personal ansvar,Annan verksamhet,182
58,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer inte alls,NA,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,"Ja, i mycket stor utsträckning",NA,30-45,Vill ej ange,Medarbetare,Annan verksamhet,276
59,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,"Ja, i ganska stor utsträckning",NA,56+,Man,Medarbetare,Annan verksamhet,141
60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112
61,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,"Ja, i ganska stor utsträckning",NA,56+,Man,Medarbetare,Annan verksamhet,159
62,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer helt,Stämmer inte alls,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer inte alls,Stämmer helt,Stämmer helt,"Nej, en del viktiga saker saknas",NA,46-55,Kvinna,Arbetsledande utan personalansvar,Annan verksamhet,284
63,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,"Ja, i ganska stor utsträckning",NA,56+,Kvinna,Medarbetare,Annan verksamhet,180
64,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer inte alls,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska väl,"Ja, i mycket stor utsträckning",NA,46-55,Kvinna,Arbetsledande med personal ansvar,Tillverkning,272
65,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,"Ja, i ganska stor utsträckning",NA,30-45,Kvinna,Medarbetare,Tillverkning,290
66,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,"Ja, i mycket stor utsträckning",NA,46-55,Kvinna,Arbetsledande med personal ansvar,Bygg,343
67,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,Stämmer helt,"Ja, i mycket stor utsträckning",NA,30-45,Man,Arbetsledande med personal ansvar,Tillverkning,187
68,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,"Ja, i mycket stor utsträckning",NA,56+,Man,Medarbetare,Annan verksamhet,253
69,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,"Ja, i ganska stor utsträckning",NA,30-45,Kvinna,Medarbetare,NA,2204
70,Stämmer ganska dåligt,Stämmer inte alls,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer helt,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska väl,Stämmer inte alls,Stämmer ganska dåligt,"Ja, i ganska stor utsträckning",NA,30-45,Man,Medarbetare,Annan verksamhet,250
71,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,"Ja, i ganska stor utsträckning",NA,46-55,Man,Medarbetare,Annan verksamhet,401
72,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,NA,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,NA,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,"Ja, i ganska stor utsträckning",NA,56+,Kvinna,Medarbetare,Annan verksamhet,458
73,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska dåligt,Stämmer helt,Stämmer helt,"Ja, i mycket stor utsträckning",NA,56+,Kvinna,Arbetsledande utan personalansvar,Annan verksamhet,219
74,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,"Ja, i mycket stor utsträckning",NA,46-55,Man,Arbetsledande med personal ansvar,Annan verksamhet,193
75,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska väl,"Ja, i ganska stor utsträckning",NA,30-45,Kvinna,Arbetsledande med personal ansvar,Tillverkning,455
76,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,"Nej, en del viktiga saker saknas",NA,30-45,Kvinna,Medarbetare,Handel,550
77,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,"Ja, i mycket stor utsträckning",NA,30-45,Kvinna,Arbetsledande med personal ansvar,Bygg,257
78,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,"Ja, i mycket stor utsträckning",NA,56+,Man,Medarbetare,Energiförsörjning,268
79,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer inte alls,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,"Ja, i ganska stor utsträckning",NA,46-55,Man,Medarbetare,Annan verksamhet,220
80,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer inte alls,Stämmer helt,Stämmer helt,"Ja, i ganska stor utsträckning",NA,30-45,Man,Arbetsledande utan personalansvar,Annan verksamhet,571
81,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,"Ja, i ganska stor utsträckning",NA,46-55,Kvinna,Arbetsledande med personal ansvar,Vård/omsorg,257
82,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer inte alls,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska väl,"Ja, i ganska stor utsträckning",NA,56+,Man,Arbetsledande utan personalansvar,Annan verksamhet,744
83,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,NA,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska väl,"Ja, i ganska stor utsträckning",NA,46-55,Kvinna,Medarbetare,Annan verksamhet,196
84,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer inte alls,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer helt,"Ja, i mycket stor utsträckning",NA,56+,Kvinna,Arbetsledande med personal ansvar,Annan verksamhet,402
85,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer inte alls,Stämmer ganska väl,Stämmer inte alls,Stämmer helt,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska dåligt,Stämmer helt,Stämmer inte alls,Stämmer helt,Stämmer helt,NA,NA,30-45,Kvinna,Medarbetare,Annan verksamhet,241
86,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,"Nej, inte alls",NA,19-29,Man,Medarbetare,Handel,229
87,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer inte alls,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,Stämmer helt,"Ja, i ganska stor utsträckning",Nej,46-55,Kvinna,Arbetsledande med personal ansvar,Annan verksamhet,337
88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122
89,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer inte alls,Stämmer inte alls,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,NA,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,"Ja, i ganska stor utsträckning",Nej,46-55,Kvinna,Medarbetare,Annan verksamhet,203
90,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,Stämmer helt,"Ja, i mycket stor utsträckning",Nej,46-55,Kvinna,Arbetsledande utan personalansvar,Tillverkning,172
91,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,"Nej, en del viktiga saker saknas",Nej,56+,Man,Arbetsledande utan personalansvar,Annan verksamhet,761
